English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
I asked Tom why he thought Mary wouldn't be at school today.,ఈ రోజు మేరీ పాఠశాలలో ఉండదని ఎందుకు అనుకున్నాను అని నేను టామ్‌ను అడిగాను.          ,నేను Tom-ni అడిగాను why he thought Mary school లో ఉండదని,Nenu Tom-ni adaganu why he thought Mary school lo undadani
I waited three hours.,నేను మూడు గంటలు వేచి ఉన్నాను.          ,నేను three hours wait చేశాను,Nenu three hours wait chesanu
I'd rather not touch it.,నేను దానిని తాకను.          ,నేను దానిని touch చేయను,Nenu danini touch cheyanu
Even if I'd been invited to Tom's party  I probably wouldn't have gone.,నన్ను టామ్ పార్టీకి ఆహ్వానించినప్పటికీ  నేను బహుశా వెళ్ళలేదు.        ,Even if nannu Tom party కి invite చేసినా నేను probably vellanu,Even if nannu Tom party ki invite chesinaa nenu probably vellanu
How are you  Tom?,టామ్ ఎలా ఉన్నావు?         ,Tom ela unnava?,Tom ela unnava?
Have you forgiven me?,మీరు నన్ను క్షమించారా?          ,Meeru nannu forgive చేశారా?,Meeru nannu forgive chesara?
We all know that Tom didn't win.,టామ్ గెలవలేదని మనందరికీ తెలుసు.          ,Manandariki telusu Tom win కాలేదని,Manandariki telusu Tom win kaaleda ni
Everything in the world is connected to everything else.,ప్రపంచంలోని ప్రతిదీ మిగతా వాటితో అనుసంధానించబడి ఉంది.          ,Prapancham లోని everything మిగతావాటితో connected ఉంది,Prapancham loni everything migata vaatito connected undi
I've got a job in Australia.,నాకు ఆస్ట్రేలియాలో ఉద్యోగం వచ్చింది.          ,Naaku Australia లో job వచ్చింది,Naaku Australia lo job vachindi
This will improve the performance.,ఇది పనితీరును మెరుగుపరుస్తుంది.          ,Idi performance improve చేస్తుంది,Idi performance improve chestundi
I knew that Tom would come.,టామ్ వస్తాడని నాకు తెలుసు.          ,Naaku telusu Tom వస్తాడని,Naaku telusu Tom vastadani
Tom says that Mary is still hungry.,మేరీ ఇంకా ఆకలితో ఉందని టామ్ చెప్పారు.          ,Tom చెబుతున్నాడు Mary ఇంకా hungry అని,Tom chebutunnadu Mary inka hungry ani
I knew what Tom was doing.,టామ్ ఏమి చేస్తున్నాడో నాకు తెలుసు.          ,Naaku telusu Tom ఏమి చేస్తున్నాడో,Naaku telusu Tom emi chestunnado
They said I could leave.,నేను బయలుదేరవచ్చని వారు చెప్పారు.          ,Vaaru chepparu nenu leave avvachani,Vaaru chepparu nenu leave avvachani
We had a good day.,మాకు మంచి రోజు వచ్చింది.          ,Maaku manchi day వచ్చింది,Maaku manchi day vachindi
Tom is former FBI.,టామ్ మాజీ ఎఫ్బిఐ.          ,Tom former FBI,Tom former FBI
Everything has to be perfect.,ప్రతిదీ పరిపూర్ణంగా ఉండాలి.          ,Everything perfect గా ఉండాలి,Everything perfect ga undaali
Give me that one.,నాకు ఒకటి ఇవ్వండి.          ,Naaku aa one ఇవ్వు,Naaku aa one ivvu
I participated in the discussion.,నేను చర్చలో పాల్గొన్నాను.          ,Nenu discussion లో participate చేశాను,Nenu discussion lo participate chesanu
You need to be more careful from now on.,ఇక నుంచి మీరు మరింత జాగ్రత్తగా ఉండాలి.          ,Ika nunchi meeru careful గా ఉండాలి,Ika nunchi meeru careful ga undaali
I've been there twice.,నేను రెండుసార్లు అక్కడ ఉన్నాను.          ,Nenu akkadiki rendu sarlu vellanu,Nenu akkada rendu saarlu unnanu
Don't bother to call me.,నన్ను పిలవడానికి ఇబ్బంది పడకండి.          ,Nannu call చేయడానికి bother పడవద్దు,Nannu call cheyadaniki bother padavaddhu
I've done something wrong.,నేను ఏదో తప్పు చేసాను.          ,Nenu edho mistake చేశాను,Nenu edo mistake chesanu
Say hello to your friends.,మీ స్నేహితులకు హలో చెప్పండి.          ,Mee friends కి hello చెప్పండి,Mee friends ki hello cheppandi
That was an unkind remark.,అది క్రూరమైన వ్యాఖ్య.          ,Adi unkind remark,Adi unkind remark
The warrior is conscious of both his strength and his weakness.,యోధుడు తన బలం మరియు అతని బలహీనత రెండింటి గురించి తెలుసు.          ,Yodhudu tana strength మరియు weakness రెండూ తెలుసు,Yodhudu tana strength mariyu weakness rendu telusu
If that's true  then she's better than me.,అది నిజమైతే  ఆమె నాకన్నా మంచిది.        ,Adi nijam అయితే ame naa kanna better,Adi nijam aite ame naa kanna better
Tom  come here quickly!,టామ్  త్వరగా ఇక్కడకు రండి!        ,Tom త్వరగా ikkadiki రా,Tom tvaraga ikkadiki ra
Tom slumped into a chair  exhausted.,టామ్ అలసిపోయి కుర్చీలో పడిపోయాడు.         ,Tom tired అయ్యి chair లో పడిపోయాడు,Tom tired ayyi chair lo padipoyadu
More people came to the party than I had bargained for.,నేను బేరం కుదుర్చుకున్న దానికంటే ఎక్కువ మంది పార్టీకి వచ్చారు.          ,Nenu bargain చేసుకున్నదానికంటే ఎక్కువమంది party కి వచ్చారు,Nenu bargain chesukunnadaanikante ekkuvamandi party ki vachaaru
